City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
102,Eureka,US,2021-04-17 22:33:00,40.8021,-124.1637,54.0,93,90,6.91
103,Makakilo City,US,2021-04-17 22:33:01,21.3469,-158.0858,80.6,78,90,6.91
104,Saldanha,ZA,2021-04-17 22:33:01,-33.0117,17.9442,64.4,36,0,2.3
105,Bathsheba,BB,2021-04-17 22:33:01,13.2167,-59.5167,80.6,61,20,18.41
106,Tiarei,PF,2021-04-17 22:28:17,-17.5333,-149.3333,87.8,66,20,11.5
107,Lompoc,US,2021-04-17 22:33:02,34.6391,-120.4579,60.8,63,1,12.66
108,Mopipi,BW,2021-04-17 22:33:02,-21.1833,24.8833,63.72,53,0,14.12
109,Shitanjing,CN,2021-04-17 22:33:02,39.2342,106.3439,44.62,32,0,4.07
110,Bonnyville,CA,2021-04-17 22:33:03,54.2668,-110.735,60.8,26,75,20.71
111,Mount Isa,AU,2021-04-17 22:33:03,-20.7333,139.5,68.0,37,2,10.36
112,Karratha,AU,2021-04-17 22:33:04,-20.7377,116.8463,80.1,47,0,8.34
113,Elban,RU,2021-04-17 22:33:04,50.1018,136.5094,41.67,78,29,1.79
114,Tema,GH,2021-04-17 22:33:04,5.667,-0.0166,82.4,78,40,9.22
115,Shimoda,JP,2021-04-17 22:33:05,34.6667,138.95,61.0,48,62,1.99
116,Lulea,SE,2021-04-17 22:33:05,65.5842,22.1547,32.0,86,85,1.39
117,Inyonga,TZ,2021-04-17 22:33:05,-6.7167,32.0667,62.31,97,22,5.17
118,Lac Du Bonnet,CA,2021-04-17 22:33:06,50.2536,-96.0612,47.5,57,48,6.35
119,Egvekinot,RU,2021-04-17 22:33:06,66.3167,-179.1667,27.95,98,100,13.6
120,Rosetown,CA,2021-04-17 22:32:07,51.5501,-108.0014,69.01,18,80,18.41
121,Spring Hill,US,2021-04-17 22:33:06,28.4769,-82.5255,80.6,65,40,12.66
122,Danville,US,2021-04-17 22:33:07,36.586,-79.395,64.4,36,90,10.36
123,Sauteurs,GD,2021-04-17 22:33:07,12.2167,-61.6333,82.4,74,20,14.97
124,Victoria,HK,2021-04-17 22:31:05,22.2855,114.1577,73.99,68,95,1.01
125,Morant Bay,JM,2021-04-17 22:33:08,17.8815,-76.4093,86.0,66,20,25.32
126,Kato Glikovrisi,GR,2021-04-17 22:33:08,36.8333,22.7833,66.0,73,100,3.0
127,Georgetown,MY,2021-04-17 22:30:11,5.4112,100.3354,80.6,89,20,2.3
128,Carballo,ES,2021-04-17 22:33:09,43.213,-8.691,51.01,62,0,3.44
129,Norman Wells,CA,2021-04-17 22:33:09,65.282,-126.8329,44.6,49,20,16.11
130,Punta Arenas,CL,2021-04-17 22:32:15,-53.15,-70.9167,51.8,62,75,6.91
131,Souillac,MU,2021-04-17 22:33:09,-20.5167,57.5167,77.0,94,75,3.44
132,Port Lincoln,AU,2021-04-17 22:33:10,-34.7333,135.8667,60.08,69,24,4.76
133,Namibe,AO,2021-04-17 22:33:10,-15.1961,12.1522,82.09,66,0,2.08
134,Ereymentau,KZ,2021-04-17 22:33:10,51.6199,73.1033,39.9,72,17,6.67
135,Poya,NC,2021-04-17 22:33:11,-21.35,165.15,80.01,67,15,5.61
136,Butaritari,KI,2021-04-17 22:33:11,3.0707,172.7902,82.24,76,98,5.97
137,Bengkulu,ID,2021-04-17 22:33:11,-3.8004,102.2655,75.13,86,100,1.81
138,Tuktoyaktuk,CA,2021-04-17 22:33:12,69.4541,-133.0374,26.6,80,75,11.5
139,Plettenberg Bay,ZA,2021-04-17 22:33:12,-34.0527,23.3716,66.81,39,28,4.34
140,Chara,RU,2021-04-17 22:33:12,56.9064,118.2631,26.71,87,100,6.98
141,Maragogi,BR,2021-04-17 22:33:13,-9.0122,-35.2225,76.46,87,52,5.64
142,Samarai,PG,2021-04-17 22:33:13,-10.6167,150.6667,83.7,75,75,13.06
143,Nelson,NZ,2021-04-17 22:30:10,-41.2833,173.2833,57.99,77,13,3.0
144,Myjava,SK,2021-04-17 22:33:14,48.7588,17.5687,45.0,75,100,10.36
145,Pacific Grove,US,2021-04-17 22:33:14,36.6177,-121.9166,59.0,67,40,11.5
146,Puerto Ayora,EC,2021-04-17 22:33:14,-0.7393,-90.3518,79.0,94,90,4.61
147,Chokurdakh,RU,2021-04-17 22:33:15,70.6333,147.9167,15.26,88,100,5.17
148,Poplar Bluff,US,2021-04-17 22:32:49,36.757,-90.3929,57.99,58,90,11.5
149,Tecoanapa,MX,2021-04-17 22:33:15,16.5167,-98.75,83.08,59,31,13.15
150,Laguna,US,2021-04-17 22:33:16,38.421,-121.4238,89.01,8,1,10.36
151,Port Hedland,AU,2021-04-17 22:33:16,-20.3167,118.5667,77.0,38,47,12.66
152,Vostok,RU,2021-04-17 22:33:16,46.4856,135.8833,41.2,49,20,4.72
153,Bunia,CD,2021-04-17 22:33:17,1.5667,30.25,65.25,82,85,4.0
154,Daru,PG,2021-04-17 22:33:17,-9.0763,143.2092,78.03,91,100,5.93
155,Kieta,PG,2021-04-17 22:29:36,-6.2167,155.6333,83.64,69,95,0.49
156,Carmaux,FR,2021-04-17 22:33:17,44.051,2.158,46.4,52,0,5.75
157,Alofi,NU,2021-04-17 22:29:01,-19.0595,-169.9187,82.4,69,14,4.61
158,Airai,TL,2021-04-17 22:33:18,-8.9266,125.4092,62.91,76,96,3.04
159,Port Elizabeth,ZA,2021-04-17 22:33:18,-33.918,25.5701,55.4,94,0,2.3
160,Saint Anthony,US,2021-04-17 22:33:19,45.0205,-93.218,57.2,28,75,12.66
161,Fortuna,US,2021-04-17 22:33:19,40.5982,-124.1573,53.6,87,20,16.11
162,Kiama,AU,2021-04-17 22:33:19,-34.6833,150.8667,61.0,81,16,1.99
